domain,gamma,cluster_id,prompts_in_cluster,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
TinyStories validation,4,37,1,0.06388888888888888,0.06388888888888888,0.05152345454257,0.0888888888888888,0.78125
TinyStories validation,4,38,1,0.3171717171717172,0.29444444444444445,0.11127937338491334,0.28888888888888875,2.34375
TinyStories validation,4,39,1,-0.07986111111111116,-0.0798611111111111,-0.02751904716066285,-0.0505050505050505,0.0
TinyStories validation,4,40,1,0.26249999999999996,0.2625,0.08647705394097824,0.2606060606060606,2.34375
TinyStories validation,4,41,1,-0.17013888888888884,-0.1701388888888889,-0.03068630833976102,-0.2222222222222222,-2.34375
TinyStories validation,4,42,1,0.0020833333333332704,0.00018939393939398919,0.007069543359865912,-0.03232323232323253,-0.78125
TinyStories validation,4,43,1,-0.5694444444444443,-0.5694444444444444,-0.17561341896895893,-0.6121212121212118,-5.46875
TinyStories validation,4,44,1,-0.4532738095238096,-0.4532738095238096,-0.16258431843985838,-0.5044733044733043,-3.90625
TinyStories validation,4,45,1,-0.10624999999999996,-0.0835227272727273,-0.030408406907657268,-0.07272727272727275,-0.78125
TinyStories validation,4,46,1,0.2907738095238095,0.2907738095238096,0.13059711715071537,0.2317460317460316,1.5625
TinyStories validation,4,47,1,-0.40833333333333327,-0.4083333333333333,-0.1352048884069757,-0.4060606060606061,-3.90625
TinyStories validation,4,48,1,-0.2362103174603174,-0.2049603174603175,-0.0901320912124583,-0.2317460317460316,-1.5625
TinyStories validation,4,49,1,-0.13432400932400929,-0.13782051282051283,-0.05157868934196496,-0.12804972804972792,-1.5625
TinyStories validation,4,50,1,-0.06944444444444442,-0.06944444444444448,-0.03009555738004012,-0.016161616161616044,0.0
TinyStories validation,4,51,1,-0.03125,-0.03125,0.005014399851356377,0.0,0.0
TinyStories validation,4,52,1,-0.4652777777777777,-0.46527777777777785,-0.14165538165538163,-0.3999999999999998,-3.90625
TinyStories validation,4,53,1,0.6062499999999998,0.5835227272727274,0.21867755478379602,0.5393939393939391,4.6875
TinyStories validation,4,54,1,-0.2847222222222222,-0.2847222222222222,-0.11223940477313793,-0.2727272727272727,-2.34375
TinyStories validation,4,55,1,0.4097222222222222,0.4097222222222222,0.11839696223316916,0.3999999999999999,3.125
TinyStories validation,4,56,1,0.09166666666666667,0.11944444444444441,0.03109874626178974,0.0888888888888888,0.78125
TinyStories validation,4,57,1,-0.5540764790764791,-0.5790764790764791,-0.19945471932492534,-0.48831168831168825,-3.90625
TinyStories validation,4,58,1,0.02847222222222212,0.0034722222222222654,-0.022629310344827555,0.0,0.0
TinyStories validation,4,59,1,-0.5256944444444445,-0.5256944444444445,-0.1475839438339438,-0.4888888888888887,-3.90625
TinyStories validation,4,60,1,0.5138888888888887,0.513888888888889,0.17862294366326625,0.5010101010101007,4.6875
TinyStories validation,4,61,1,-0.2861111111111112,-0.23838383838383842,-0.0574287050023375,-0.3111111111111111,-2.34375
TinyStories validation,4,62,1,-0.032638888888888884,-0.05763888888888885,-0.03175938206110619,-0.0888888888888888,-0.78125
TinyStories validation,4,63,1,-0.39722222222222214,-0.39722222222222225,-0.13437207850444777,-0.4121212121212119,-3.90625
TinyStories validation,4,64,1,0.09444444444444433,0.0944444444444445,0.06170248209228721,0.016161616161616044,0.0
TinyStories validation,4,65,1,-0.02430555555555547,-0.02430555555555558,0.00998949167052618,-0.050505050505050386,-0.78125
TinyStories validation,4,66,1,0.2979166666666667,0.29791666666666666,0.09177335345813603,0.28888888888888875,2.34375
TinyStories validation,4,67,1,0.16666666666666663,0.16666666666666669,0.05005456759489016,0.16161616161616155,1.5625
TinyStories validation,4,68,1,0.16388888888888875,0.16388888888888892,0.06542866559551763,0.16161616161616155,1.5625
TinyStories validation,4,69,1,0.6047619047619048,0.6047619047619048,0.19476600985221676,0.5968253968253967,3.90625
TinyStories validation,4,70,1,0.022222222222222254,0.0222222222222222,0.028274959742351058,0.07272727272727275,0.78125
TinyStories validation,4,71,1,-0.07499999999999996,-0.07500000000000001,-0.03379515599343186,-0.07272727272727275,-0.78125
TinyStories validation,4,72,1,0.1659722222222222,0.14324494949494954,0.04652030811235483,0.21212121212121193,2.34375
TinyStories validation,4,73,1,0.3027777777777777,0.3277777777777778,0.08011450395071082,0.2727272727272727,2.34375
TinyStories validation,4,74,1,0.12083333333333346,0.09583333333333333,0.006240389420674272,0.11111111111111116,0.78125
TinyStories validation,4,75,1,0.2305555555555555,0.20782828282828283,0.05904425062691189,0.25050505050505034,2.34375
TinyStories validation,4,76,1,0.01388888888888884,0.013888888888888895,0.00909899436039592,0.016161616161616044,0.0
TinyStories validation,4,77,1,-0.29454365079365086,-0.2945436507936508,-0.06310718267240006,-0.34285714285714275,-2.34375
TinyStories validation,4,78,1,-0.08819444444444446,-0.08819444444444446,0.01120544525716935,-0.0888888888888888,-0.78125
