domain,gamma,prompt_index,cluster_id,trial_index,trial_seed,acceptance_rate_pos2plus_H1,mean_accepted_prefix_H1,mean_accepted_beyond_first_H1,emitted_tokens_per_round_H1,rounds_per_100_tokens_H1,verification_rounds_H1,position_1_survival_H1,decode_seconds_H1,acceptance_rate_pos2plus_H8,mean_accepted_prefix_H8,mean_accepted_beyond_first_H8,emitted_tokens_per_round_H8,rounds_per_100_tokens_H8,verification_rounds_H8,position_1_survival_H8,decode_seconds_H8,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
WikiText-103 test OOD,4,38,18,0,10038082,0.48148148148148145,2.3,1.3,3.2,31.25,10.0,1.0,0.10237470399988524,0.7083333333333334,3.125,2.125,4.0,25.0,8.0,1.0,0.08451232800052821,0.8250000000000002,0.825,0.22685185185185192,0.7999999999999998,6.25
WikiText-103 test OOD,4,38,18,1,10138082,0.6,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09509176299980027,0.3548387096774194,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.11340964899954997,-0.6666666666666665,-0.6666666666666667,-0.2451612903225806,-0.6464646464646462,-6.25
WikiText-103 test OOD,4,38,18,2,10238082,0.5769230769230769,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.0966349979998995,0.6666666666666666,3.0,2.0,4.0,25.0,8.0,1.0,0.0854450500000894,0.3333333333333335,0.33333333333333326,0.08974358974358976,0.44444444444444464,3.125
WikiText-103 test OOD,4,38,18,3,10338082,0.5384615384615384,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09630430300057924,0.4482758620689655,2.3,1.3,3.2,31.25,10.0,1.0,0.10550192600021546,-0.25555555555555554,-0.25555555555555554,-0.09018567639257291,-0.3555555555555552,-3.125
WikiText-103 test OOD,4,39,18,0,10039082,0.48148148148148145,2.3,1.3,3.2,31.25,10.0,1.0,0.10313065399986954,0.5,2.3,1.3,3.2,31.25,10.0,1.0,0.10043482000037329,0.0,0.0,0.018518518518518545,0.0,0.0
WikiText-103 test OOD,4,39,18,1,10139082,0.625,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09284314199976507,0.6,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09230899599970144,0.0,0.0,-0.025000000000000022,0.0,0.0
WikiText-103 test OOD,4,39,18,2,10239082,0.3793103448275862,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.1130928219999987,0.4,2.2,1.2,3.2,31.25,10.0,1.0,0.10296036300042033,0.20000000000000018,0.19999999999999996,0.020689655172413834,0.290909090909091,3.125
WikiText-103 test OOD,4,39,18,3,10339082,0.36666666666666664,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.11512575800043123,0.3548387096774194,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.11207794300025853,0.0,0.0,-0.011827956989247268,0.0,0.0
WikiText-103 test OOD,4,40,19,0,10040082,0.5555555555555556,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09472838300007425,0.6,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09257749300013529,0.0,0.0,0.0444444444444444,0.0,0.0
WikiText-103 test OOD,4,40,19,1,10140082,0.5384615384615384,2.3,1.4,3.2,31.25,10.0,0.9,0.11709455600066576,0.48148148148148145,2.3,1.3,3.2,31.25,10.0,1.0,0.10139561899995897,0.0,-0.09999999999999987,-0.05698005698005698,0.0,0.0
WikiText-103 test OOD,4,40,19,2,10240082,0.5185185185185185,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09568286299963802,0.625,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09101764000024559,0.11111111111111116,0.11111111111111116,0.10648148148148151,0.0,0.0
WikiText-103 test OOD,4,40,19,3,10340082,0.6666666666666666,3.0,2.0,4.0,25.0,8.0,1.0,0.08598966899990046,0.41379310344827586,2.0,1.0909090909090908,2.909090909090909,34.375,11.0,0.9090909090909091,0.11046313099996041,-1.0,-0.9090909090909092,-0.2528735632183908,-1.0909090909090908,-9.375
WikiText-103 test OOD,4,41,19,0,10041082,0.2727272727272727,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.12377082100010739,0.2727272727272727,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.12694487899989326,0.0,0.0,0.0,0.0,0.0
WikiText-103 test OOD,4,41,19,1,10141082,0.5769230769230769,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.0941696089994366,0.28125,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.12475521199939976,-0.9166666666666665,-0.9166666666666667,-0.29567307692307687,-0.8888888888888888,-9.375
WikiText-103 test OOD,4,41,19,2,10241082,0.6,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09196336900004098,0.36666666666666664,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.11209243699977378,-0.6666666666666665,-0.6666666666666667,-0.23333333333333334,-0.6464646464646462,-6.25
WikiText-103 test OOD,4,41,19,3,10341082,0.3548387096774194,1.9090909090909092,1.0,2.909090909090909,34.375,11.0,0.9090909090909091,0.11317500299992389,0.36666666666666664,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.11254624999946827,0.09090909090909083,0.0,0.011827956989247268,0.0,0.0
WikiText-103 test OOD,4,42,20,0,10042082,0.6,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09223004199975549,0.95,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.0732720279993373,1.047619047619048,1.0476190476190477,0.35,1.0158730158730158,6.25
WikiText-103 test OOD,4,42,20,1,10142082,0.42857142857142855,2.2,1.2,3.2,31.25,10.0,1.0,0.10264354700029799,0.7083333333333334,3.125,2.125,4.0,25.0,8.0,1.0,0.08376925599986862,0.9249999999999998,0.925,0.2797619047619048,0.7999999999999998,6.25
